"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi|Lacbi2|332226|Lacbi1.fgenesh3_pg.C_scaffold_39000094",42.2509096527547,-5.87831891627884,1.45383717796035,-4.04331310644137,5.27011673758306e-05,0.000990423638445497
"jgi|Lacbi2|705129|estExt_fgenesh3_kg.C_LG_5_t10389",170.912724146008,0.386156219723625,0.204860061463426,1.88497561196215,0.0594331305297792,0.204448736289632
"jgi|Lacbi2|163235|Lacbi1.gwh1.39.26.1",10.0853849452814,0.219234050883962,0.58604983166017,0.374087729473298,0.708339047510248,0.847910725583361
"jgi|Lacbi2|596035|e_gw1.5.1265.1",1.17241696173977,-1.42779170738236,1.85387838923164,-0.770164707499568,0.441202196120084,NA
"jgi|Lacbi2|595065|e_gw1.5.505.1",0.17142063180062,0.507135998663533,6.70209697267616,0.0756682573724433,0.939683030513863,NA
"jgi|Lacbi2|596752|e_gw1.5.66.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|596903|e_gw1.5.1387.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|594812|e_gw1.5.873.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|595873|e_gw1.5.60.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|492011|gw1.5.175.1",0.0630016465931041,0.507237472316545,6.7020969727835,0.0756833979538617,0.939670984619538,NA
"jgi|Lacbi2|484034|fgenesh1_pm.LG_5_#_173",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445163|gm1.9607_g",416.434273631023,-0.542798570669844,0.208205071268873,-2.60703818289268,0.00913291753895081,0.0554540562000456
"jgi|Lacbi2|308308|Lacbi1.eu2.Lbscf0039g01610",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445165|gm1.9609_g",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|596381|e_gw1.5.40.1",76.51098743774,-0.642248853893867,0.278951101371201,-2.30237074073862,0.0213142735613511,0.101506741425702
"jgi|Lacbi2|594752|e_gw1.5.327.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445169|gm1.9613_g",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|457475|estExt_Genemark1.C_LG_5_t10495",60.2145153788287,-0.214312668111907,0.269046584875137,-0.796563421205914,0.425704628466524,0.658380814837841
"jgi|Lacbi2|594803|e_gw1.5.198.1",0.0198023176890972,0.507191200355138,6.7020969727835,0.0756764938518179,0.939676477543186,NA
"jgi|Lacbi2|314149|Lacbi1.eu2.Lbscf0005g07380",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|497674|gw1.5.723.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|668932|estExt_fgenesh1_pm.C_LG_50176",47.731197962371,0.634532066419733,0.256196254216763,2.476742169239,0.0132587643494041,0.0719498099745985
"jgi|Lacbi2|445173|gm1.9617_g",8.41552474621457,1.67118814801371,0.495115849524458,3.37534770825623,0.000737224819376586,0.0082392416329601
"jgi|Lacbi2|445174|gm1.9618_g",3.70177732892723,-0.388998449335953,0.889683711579149,-0.437232293087055,0.661942892261709,NA
"jgi|Lacbi2|232257|Lacbi1.e_gwh1.5.35.1",307.078130900025,-0.493107502867219,0.330272954824448,-1.49303022140981,0.13542927623346,0.340252913665129
"jgi|Lacbi2|383839|Lacbi1.Eugenev2.0000050665",2.26633285443644,1.11885541527898,0.952141493434013,1.17509364206331,0.239957254033184,NA
"jgi|Lacbi2|324397|Lacbi1.fgenesh3_pg.C_scaffold_5000504",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|484041|fgenesh1_pm.LG_5_#_180",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|314154|Lacbi1.eu2.Lbscf0005g07430",496.512703011737,-0.402141064155866,0.177046529203119,-2.27138631842087,0.0231236019111179,0.107383147017474
"jgi|Lacbi2|595756|e_gw1.5.85.1",18.4633148858344,0.534741669374948,0.447781277770716,1.1942028305363,0.232398636147755,0.470398948040948
"jgi|Lacbi2|705133|estExt_fgenesh3_kg.C_LG_5_t10397",32.6103325472077,-0.82624947100963,0.332528151075753,-2.48475044394483,0.0129642281465343,0.070756634738057
"jgi|Lacbi2|658007|estExt_fgenesh1_kg.C_LG_50169",206.133094988074,-1.26724958392602,0.25378604750826,-4.99337767528286,5.93323704918476e-07,2.15677230598858e-05
"jgi|Lacbi2|144038|Lacbi1.gww1.5.210.1",34.3538193241246,0.298834941239417,0.334577312177088,0.893171564129392,0.371765303572653,0.614192759033988
"jgi|Lacbi2|324403|Lacbi1.fgenesh3_pg.C_scaffold_5000510",21.5822770706126,-0.10247465664128,0.320935352426818,-0.319299995673264,0.749499035963719,0.87228902170606
"jgi|Lacbi2|484047|fgenesh1_pm.LG_5_#_186",23.2502613308727,-0.294679791109451,0.352428416102975,-0.836140837813003,0.403075676563996,0.640786972999173
"jgi|Lacbi2|689516|fgenesh3_kg.LG_5_#_422_#_Locus_5374_Transcript_3/3_Confidence_0.667",74.4564306006205,-0.265814687237926,0.201531143514719,-1.31897573051042,0.187177226250972,0.415170742325897
"jgi|Lacbi2|658009|estExt_fgenesh1_kg.C_LG_50172",320.89377359055,-0.362311605045671,0.193926798752079,-1.86829054765586,0.0617215834448679,0.209450309721236
"jgi|Lacbi2|445187|gm1.9631_g",0.0204102812512096,-0.21406375525957,6.7020969727835,-0.0319398176613768,0.97452004492442,NA
"jgi|Lacbi2|689520|fgenesh3_kg.LG_5_#_426_#_Locus_6726_Transcript_2/4_Confidence_0.769",60.8640084501761,0.200212370709846,0.256671428751812,0.780033725153887,0.435371024467725,0.666801656774533
"jgi|Lacbi2|324409|Lacbi1.fgenesh3_pg.C_scaffold_5000516",18.2491999786782,-0.131461821865922,0.408501301692908,-0.321814939930714,0.747592895486623,0.870913760851522
"jgi|Lacbi2|314168|Lacbi1.eu2.Lbscf0005g07570",6.16123866631327,-0.791858375276863,0.749992711800628,-1.05582142708523,0.291049806920993,0.534484268266814
"jgi|Lacbi2|314169|Lacbi1.eu2.Lbscf0005g07580",105.318498037316,0.397860738345147,0.23539862647165,1.69015743340823,0.0909978394987755,0.266976829961923
"jgi|Lacbi2|457485|estExt_Genemark1.C_LG_5_t20018",443.55449609021,-0.144219361513932,0.166504939059892,-0.866156657743686,0.386404258143446,0.626672985826579
"jgi|Lacbi2|594603|e_gw1.5.273.1",8.51850371973172,-1.04550968314956,0.592635326248867,-1.76417037061763,0.07770329957979,0.2424579027759
"jgi|Lacbi2|647587|estExt_Genewise1.C_LG_5_t30403",60.0842435469427,-0.0591480641400369,0.242072384807729,-0.244340403334385,0.806967194218947,0.904064910318078
"jgi|Lacbi2|594362|e_gw1.5.408.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|594559|e_gw1.5.463.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|324415|Lacbi1.fgenesh3_pg.C_scaffold_5000522",0,NA,NA,NA,NA,NA
