"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Potra000009g00047",79.6415569314409,4.00161737862654,0.565774819741703,7.07280925024805,1.51828128999137e-12,1.90281427068057e-09
"Potra000055g00223",19.6252530650974,5.38920519048904,0.916027021187106,5.8832382297031,4.02316186196226e-09,1.99499565146855e-06
"Potra000087g35746",62.1551130390297,3.26762885751352,0.460366018408858,7.09789325634258,1.26672958197313e-12,1.7099441879324e-09
"Potra000162g00592",99.5494542053201,2.25914391261433,0.449173291242537,5.02955976381613,4.91607257055573e-07,0.000145671623560199
"Potra000193g00821",11.5436151900657,2.97618772779133,0.691681502584051,4.3028297224555,1.68630448673293e-05,0.00257697021500859
"Potra000391g01797",107.583805386645,1.90923230769934,0.26515234562225,7.20051072231256,5.99874398430965e-13,9.10984258317225e-10
"Potra000417g02124",572.576562586405,1.90634971347228,0.402772145509742,4.7330723703836,2.21146594196035e-06,0.000488492722343206
"Potra000417g02132",11.315078382433,3.03613613164666,0.662414921770748,4.58343559582044,4.5739780867382e-06,0.000848385645431793
"Potra000429g02267",137.61198813079,2.87614627385362,0.487489649744177,5.89991249119433,3.63694417662154e-09,1.84105145007396e-06
"Potra000439g02401",170.270608704623,2.07593716574007,0.417042239575259,4.97776236731879,6.43235585321909e-07,0.000183080252546559
"Potra000467g02787",24.2814409888498,3.2010613165905,0.379728481514647,8.42986889954165,3.46052688186253e-17,1.2011983167928e-13
"Potra000486g03009",58.2246782227665,4.24824770138277,0.552049637777067,7.69540891012836,1.41042380916803e-14,2.8558731429304e-11
"Potra000488g03055",49.0657027415095,2.34682010839072,0.367060853853482,6.39354505868252,1.62083204287211e-10,1.09397158271407e-07
"Potra000491g32760",68.3582471741962,2.5488307591455,0.437786450964666,5.82208689540101,5.81173170260581e-09,2.76889131195914e-06
"Potra000501g03236",35.2961098847102,2.92065641628658,0.736503130480742,3.96557230432974,7.32200519754062e-05,0.0088955041144921
"Potra000508g03322",13.7461639616491,4.55097608643381,0.927005753310208,4.90932884740242,9.13886194096346e-07,0.000236229858980351
"Potra000556g04029",44.4833042845991,2.29726191167626,0.496637719512354,4.62562914861145,3.7346300769971e-06,0.00071452001268406
"Potra000565g04150",36.3565408053278,1.27887964410483,0.275289795883648,4.64557591028676,3.39129040910814e-06,0.000669931498865932
"Potra000566g04167",21.5937750533566,2.53478308694163,0.60580784177731,4.18413713415316,2.86251281855035e-05,0.00390749081264811
"Potra000567g04172",23.9843490494566,5.97503333727867,0.96171013958887,6.21292538293605,5.2007149465428e-10,3.14453723280021e-07
"Potra000571g04225",6.44624515879941,5.08945544093261,1.20936910086344,4.20835577599839,2.57235630729706e-05,0.00361289673726613
"Potra000573g04256",557.931689401272,2.89109713222237,0.46557192387052,6.20977551263681,5.30603451085721e-10,3.14453723280021e-07
"Potra000573g04259",44.6573937622062,4.05065074461748,0.593184793410958,6.82864899709455,8.57180136158864e-12,8.33110517935523e-09
"Potra000577g33017",70.9337549920396,3.0376637248461,0.535140345853534,5.67638704198449,1.37569324085587e-08,5.7632059252269e-06
"Potra000587g04403",21.1060915242147,4.2988853587387,0.866618448952365,4.96052832008773,7.03017105339416e-07,0.000196343788799277
"Potra000614g04673",184.915465952885,5.98047990164915,1.25107139599331,4.78028665734209,1.75045425548981e-06,0.000405071785713251
"Potra000642g04908",33.2801369836168,4.64857950721496,0.689846582768592,6.73857002894557,1.59952963003295e-11,1.43945818335336e-08
"Potra000660g05092",159.595829965093,1.82888110562573,0.423390163317439,4.31961170589246,1.5630397529693e-05,0.0024677831783659
"Potra000701g05466",5.1214082126825,4.81423798714863,1.17020040431986,4.11402864789363,3.88813150590421e-05,0.00510669293678165
"Potra000727g05695",19.5443597070772,5.55012834926403,1.21429695069371,4.57065164010609,4.86209946141672e-06,0.000888265358748146
"Potra000764g06039",80187.8609460189,5.69175682133904,0.554506167299016,10.2645509770674,1.01793425707581e-24,4.94675331568559e-21
"Potra000788g06244",76.7667971474195,3.33874602559394,0.555385740574041,6.01158038761141,1.83723368050712e-09,9.920245326436e-07
