"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi|Lacbi2|332226|Lacbi1.fgenesh3_pg.C_scaffold_39000094",42.2509096527547,-5.1902653003725,1.11797519491509,-4.64255855047542,3.44121077241406e-06,5.06684767951226e-05
"jgi|Lacbi2|705129|estExt_fgenesh3_kg.C_LG_5_t10389",170.912724146008,0.652334720388067,0.212837883663684,3.06493707397906,0.00217715798890884,0.0128448544835667
"jgi|Lacbi2|163235|Lacbi1.gwh1.39.26.1",10.0853849452814,0.329337039374809,0.500123437816201,0.658511508304562,0.510209504557382,0.709536983492097
"jgi|Lacbi2|596035|e_gw1.5.1265.1",1.17241696173977,-0.924039676476772,1.62255581222774,-0.569496389284807,0.569019320384412,NA
"jgi|Lacbi2|595065|e_gw1.5.505.1",0.17142063180062,-2.00430100894702,6.69198062190012,-0.299507891936771,0.764552551354963,NA
"jgi|Lacbi2|596752|e_gw1.5.66.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|596903|e_gw1.5.1387.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|594812|e_gw1.5.873.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|595873|e_gw1.5.60.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|492011|gw1.5.175.1",0.0630016465931041,-0.423104632858162,6.70067195174545,-0.0631436124473976,0.949652145856603,NA
"jgi|Lacbi2|484034|fgenesh1_pm.LG_5_#_173",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445163|gm1.9607_g",416.434273631023,0.319330167375085,0.206337736912142,1.54760913904496,0.121716429734556,0.282826990015138
"jgi|Lacbi2|308308|Lacbi1.eu2.Lbscf0039g01610",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445165|gm1.9609_g",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|596381|e_gw1.5.40.1",76.51098743774,0.0722228843267847,0.26969614153469,0.267793539484119,0.788858243908372,0.889697124129437
"jgi|Lacbi2|594752|e_gw1.5.327.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|445169|gm1.9613_g",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|457475|estExt_Genemark1.C_LG_5_t10495",60.2145153788287,0.0993821805790585,0.257188203712499,0.386418113834467,0.699187037066891,0.835759028948516
"jgi|Lacbi2|594803|e_gw1.5.198.1",0.0198023176890972,-1.14412821037237,6.70067195174545,-0.170748279965315,0.864421698311286,NA
"jgi|Lacbi2|314149|Lacbi1.eu2.Lbscf0005g07380",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|497674|gw1.5.723.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|668932|estExt_fgenesh1_pm.C_LG_50176",47.731197962371,0.151393118972813,0.247769115137408,0.611024981418097,0.541183042117,0.732981113788132
"jgi|Lacbi2|445173|gm1.9617_g",8.41552474621457,0.266591388245802,0.457511198083068,0.582699154387469,0.560095842583388,0.745679880797073
"jgi|Lacbi2|445174|gm1.9618_g",3.70177732892723,-0.317274675786479,0.724877051868817,-0.437694468280529,0.661607780008034,0.812526976621169
"jgi|Lacbi2|232257|Lacbi1.e_gwh1.5.35.1",307.078130900025,0.979353169042609,0.323382899877132,3.02846306782057,0.00245801119693558,0.0142182152781924
"jgi|Lacbi2|383839|Lacbi1.Eugenev2.0000050665",2.26633285443644,-0.556943914707362,0.909041476642315,-0.612671620622328,0.540093491024419,NA
"jgi|Lacbi2|324397|Lacbi1.fgenesh3_pg.C_scaffold_5000504",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|484041|fgenesh1_pm.LG_5_#_180",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|314154|Lacbi1.eu2.Lbscf0005g07430",496.512703011737,-0.144301496184082,0.170587079081027,-0.845911055875105,0.39760236440341,0.614842028609729
"jgi|Lacbi2|595756|e_gw1.5.85.1",18.4633148858344,1.39999288802898,0.401033391492912,3.49096339039818,0.000481282196809443,0.00368892635920703
"jgi|Lacbi2|705133|estExt_fgenesh3_kg.C_LG_5_t10397",32.6103325472077,0.163555540420295,0.264501724417468,0.618353399322843,0.536342409060449,0.729547937939153
"jgi|Lacbi2|658007|estExt_fgenesh1_kg.C_LG_50169",206.133094988074,-0.943743513060868,0.215840070294172,-4.37242033777428,1.22876658961881e-05,0.000154647265973764
"jgi|Lacbi2|144038|Lacbi1.gww1.5.210.1",34.3538193241246,0.471761979573169,0.332097636570926,1.4205520534393,0.155447025682378,0.33383690361622
"jgi|Lacbi2|324403|Lacbi1.fgenesh3_pg.C_scaffold_5000510",21.5822770706126,0.496452148353313,0.314019857807646,1.58095781527746,0.113887683506874,0.270031706885853
"jgi|Lacbi2|484047|fgenesh1_pm.LG_5_#_186",23.2502613308727,-0.263473984591073,0.313525861592882,-0.840358059308032,0.400707657291509,0.617558782225721
"jgi|Lacbi2|689516|fgenesh3_kg.LG_5_#_422_#_Locus_5374_Transcript_3/3_Confidence_0.667",74.4564306006205,-0.26097151188852,0.190963251800421,-1.36660592772721,0.171748858212859,0.358435836169037
"jgi|Lacbi2|658009|estExt_fgenesh1_kg.C_LG_50172",320.89377359055,-0.808245472744124,0.179563643718466,-4.50116435602829,6.75822207013128e-06,9.21116099645787e-05
"jgi|Lacbi2|445187|gm1.9631_g",0.0204102812512096,-0.42305835567005,6.70067195174545,-0.0631367060970427,0.949657645353623,NA
"jgi|Lacbi2|689520|fgenesh3_kg.LG_5_#_426_#_Locus_6726_Transcript_2/4_Confidence_0.769",60.8640084501761,-0.604767772659524,0.225399990326233,-2.68308695037747,0.00729460220170458,0.0345193262449359
"jgi|Lacbi2|324409|Lacbi1.fgenesh3_pg.C_scaffold_5000516",18.2491999786782,-0.377933730404455,0.364773065944739,-1.03607904664132,0.300165266633003,0.520559409103673
"jgi|Lacbi2|314168|Lacbi1.eu2.Lbscf0005g07570",6.16123866631327,0.394645768876392,0.746097677184235,0.528946518592286,0.596842550602824,0.770481610625135
"jgi|Lacbi2|314169|Lacbi1.eu2.Lbscf0005g07580",105.318498037316,0.536878952287154,0.254986385608362,2.10552006926266,0.0352460622199368,0.1159948419212
"jgi|Lacbi2|457485|estExt_Genemark1.C_LG_5_t20018",443.55449609021,0.193890375004185,0.163563615376925,1.18541262711376,0.235854341614744,0.444372204432971
"jgi|Lacbi2|594603|e_gw1.5.273.1",8.51850371973172,-0.166500993502337,0.556964444304259,-0.298943667239522,0.764983028043744,0.875226877566534
"jgi|Lacbi2|647587|estExt_Genewise1.C_LG_5_t30403",60.0842435469427,0.513886440819381,0.238255489365818,2.15687135766412,0.0310156892121273,0.105756504193231
"jgi|Lacbi2|594362|e_gw1.5.408.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|594559|e_gw1.5.463.1",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|324415|Lacbi1.fgenesh3_pg.C_scaffold_5000522",0,NA,NA,NA,NA,NA
"jgi|Lacbi2|596395|e_gw1.5.870.1",9.03987636679608,1.01004190963526,0.606457995737784,1.66547710927036,0.0958176067852922,0.237837342161558
"jgi|Lacbi2|595330|e_gw1.5.599.1",6.89098837246081,-0.740313277561459,0.556732426641047,-1.32974700616599,0.18360164158959,0.375737113993136
"jgi|Lacbi2|705140|estExt_fgenesh3_kg.C_LG_5_t10414",108.288952956725,-0.754215212349989,0.210169101597941,-3.58861129735818,0.000332444067790679,0.00270670349628497
"jgi|Lacbi2|705142|estExt_fgenesh3_kg.C_LG_5_t10416",2889.2745059609,-0.645225148834407,0.272730334631113,-2.36579898494651,0.0179912098408668,0.0698147204463755
"jgi|Lacbi2|595114|e_gw1.5.708.1",8.12821148729806,0.377709047428402,0.52257230179379,0.722788112060037,0.469810072036962,0.677524489088707
"jgi|Lacbi2|595253|e_gw1.5.2015.1",5.32861913321697,-0.177210057277869,0.648460164512723,-0.273278247417143,0.784639335199326,0.887292673542252
"jgi|Lacbi2|631078|estExt_Genewise1Plus.C_LG_5_t30391",127.09468669767,-1.16047296963556,0.191317170594054,-6.065702132392,1.31378422087818e-09,4.28633916667809e-08
"jgi|Lacbi2|324421|Lacbi1.fgenesh3_pg.C_scaffold_5000528",0.0256053016880281,-0.42305835567005,6.70067195174545,-0.0631367060970427,0.949657645353623,NA
"jgi|Lacbi2|490455|gw1.5.37.1",0.279889524599347,0.588097452950543,4.20513454671296,0.139852232174175,0.888776743469086,NA
"jgi|Lacbi2|533018|gw1.5.2659.1",0.0256053016880281,-0.42305835567005,6.70067195174545,-0.0631367060970427,0.949657645353623,NA
"jgi|Lacbi2|491545|gw1.5.126.1",0.0220218380049393,-0.422968885584411,6.70067195174545,-0.0631233536920476,0.949668277822969,NA
"jgi|Lacbi2|519612|gw1.5.2156.1",0.0376595463549919,-0.42305835567005,6.70067195174545,-0.0631367060970428,0.949657645353623,NA
"jgi|Lacbi2|596002|e_gw1.5.114.1",2.46848380567186,-1.28662520938177,1.13342876129224,-1.1351619557588,0.256307466474016,NA
"jgi|Lacbi2|484062|fgenesh1_pm.LG_5_#_201",1.75011701686092,0.8788591284934,1.45651636960867,0.603398044012049,0.546243923137787,NA
"jgi|Lacbi2|177837|Lacbi1.estExt_Genewise1_worm.C_50082",470.404546790045,0.146746230980911,0.162976378453043,0.900414111381129,0.367899913901488,0.589202863876368
"jgi|Lacbi2|595133|e_gw1.5.2327.1",108.998886270542,-0.905983318030013,0.214711579852042,-4.21953635967993,2.44805241216663e-05,0.000284908067301343
"jgi|Lacbi2|689552|fgenesh3_kg.LG_5_#_458_#_Locus_14583_Transcript_2/2_Confidence_1.000",90.2605817456839,1.05339689567077,0.209091707705083,5.03796591090332,4.70505212214228e-07,8.76879919475969e-06
"jgi|Lacbi2|399672|Lacbi1.DUP_estExt_Genewise1_human.C_50532",178.103258197258,0.0136888378951931,0.189107566154606,0.0723865161693304,0.942294315181929,0.973048512944982
"jgi|Lacbi2|324430|Lacbi1.fgenesh3_pg.C_scaffold_5000537",76.0589278369045,0.314292130156341,0.170544337060047,1.84287637792208,0.065347061955664,0.182668333245697
"jgi|Lacbi2|668947|estExt_fgenesh1_pm.C_LG_50208",11.6853669304273,0.828695732778585,0.535892423760748,1.54638449068383,0.122011737531376,0.283126332784304
"jgi|Lacbi2|189031|Lacbi1.estExt_GeneWisePlus_worm.C_50107",1547.10700540207,0.175714644031461,0.131030430806804,1.34102164626582,0.179913424708567,0.37047406434994
"jgi|Lacbi2|595245|e_gw1.5.497.1",17.3751007072494,-0.305384922725414,0.473013071968726,-0.64561624365765,0.518527914948644,0.715025207403023
"jgi|Lacbi2|484074|fgenesh1_pm.LG_5_#_213",6.79720027975801,-0.497585939506741,0.691367023192799,-0.719713152080701,0.471701626782359,0.678998304195908
"jgi|Lacbi2|484075|fgenesh1_pm.LG_5_#_214",1180.99750884028,2.32981151616665,0.273052263529192,8.53247464809082,1.43249949631332e-17,2.59855408631237e-15
"jgi|Lacbi2|314198|Lacbi1.eu2.Lbscf0005g07870",30.9679787801377,-0.00223973819655102,0.305914060029114,-0.00732146210062349,0.994158370616385,0.997843993279901
"jgi|Lacbi2|689570|fgenesh3_kg.LG_5_#_476_#_Locus_6889_Transcript_3/5_Confidence_0.294",18.7054694265171,0.643270734258266,0.395422148128983,1.62679490084718,0.103780664988468,0.252131419137162
