"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Potri.001G000100",0,NA,NA,NA,NA,NA
"Potri.001G000200",0,NA,NA,NA,NA,NA
"Potri.001G000300",1.65668180581332,-1.27552571079758,1.62541845624851,-0.784736820167231,0.432607889928539,0.793349443367401
"Potri.001G000400",28.6825781426938,-0.386244305987795,0.283267344026596,-1.36353276907037,0.172714664240251,0.585869148553455
"Potri.001G000500",0.0298240845612694,1.60087797511527,6.6108980689668,0.242157413170563,0.808658192437808,NA
"Potri.001G000600",0,NA,NA,NA,NA,NA
"Potri.001G000700",60.4676595296302,-0.0258574793640535,0.228526444223896,-0.11314874062767,0.909912633640616,0.976711495628598
"Potri.001G000800",1.82721423852485,-0.327929564014036,1.08943697303606,-0.301008293394117,0.763408170432819,0.933852607602606
"Potri.001G000900",213.074674495734,-0.0915057016807186,0.140128720621399,-0.653011754299459,0.513748700743736,0.83152546419922
"Potri.001G001000",0.0568898619634232,0.879625012215027,6.6108980689668,0.133056810593436,0.89414845151264,NA
"Potri.001G001100",53.6942295849742,0.160817074776673,0.739335004627404,0.217515840275572,0.827806363744288,0.952901784656639
"Potri.001G001200",0.922006663893162,0.403448115998663,1.4315449986202,0.281827058449108,0.77807612192152,NA
"Potri.001G001300",47.2227824629736,0.2068781654353,0.197536275786439,1.04729202072717,0.294964915098692,0.708111997099883
"Potri.001G001400",10.3020339466015,0.00383253589421551,0.359900876670858,0.0106488651254954,0.991503595506277,0.997971564869615
"Potri.001G001500",57.2832733129369,0.486757202090766,0.286909161836123,1.69655510118841,0.0897808044380247,0.457357068769179
"Potri.001G001600",200.706014467881,-0.276545153339916,0.430295628434374,-0.642686411540183,0.520427599972038,0.834193335413346
"Potri.001G001700",19.2516088908612,0.33393251338739,0.342014473413099,0.976369537975815,0.328881371409434,0.731788794704776
"Potri.001G001800",37.4622617986933,-0.372235368043989,0.392727172099999,-0.947821781858293,0.343220189768853,0.741945732168343
"Potri.001G001900",0,NA,NA,NA,NA,NA
"Potri.001G002000",352.5475432484,-0.266345379377694,0.331718826027639,-0.802925123566856,0.422018013818678,0.786184254501736
"Potri.001G002100",0.226137132665676,-0.356083931751756,2.95095162619492,-0.120667492001862,0.903954408427207,NA
"Potri.001G002200",3.06639987303112,-0.317394527716004,1.0073877640484,-0.315066887888819,0.752710868738488,0.929647734919227
"Potri.001G002300",11.4817851467015,-0.484720657276875,0.417045056043969,-1.16227407627096,0.24512415329324,0.663739899961936
"Potri.001G002400",0,NA,NA,NA,NA,NA
"Potri.001G002500",119.25907875454,0.192694585529056,0.268358213014486,0.718049890720705,0.472726525320351,0.813876928993851
"Potri.001G002600",3.98040965353137,-1.85133590567934,0.931926262714666,-1.98656908786589,0.04697016964693,0.349421613663218
"Potri.001G002700",0.0173937217139539,0.879625022980171,6.6108980689668,0.13305681222183,0.89414845022482,NA
"Potri.001G002800",1.06145541862903,-0.79429852421892,1.61629891613535,-0.49143046270063,0.623122023048709,NA
"Potri.001G002900",3.87261540703454,0.319832629096145,0.968802287792018,0.330131991972347,0.741300230978112,0.925799131131132
"Potri.001G003000",8.53380833125674,-0.0310342818128223,0.619412592874653,-0.050102762148884,0.960040498628134,0.990887119073584
"Potri.001G003100",65.8134418869077,-0.55324850175296,0.295302674829076,-1.87349641202263,0.0609998677433353,0.391797632597994
"Potri.001G003200",0.0585478163186822,1.80356652628147,6.58449967205834,0.273910944811039,0.78415306040354,NA
"Potri.001G003300",1.86289544301847,-0.830053144889933,0.88956865111968,-0.933096218987892,0.350770291156469,0.746238252909332
"Potri.001G003400",15.2204301313526,-0.367056326801341,0.362381141485976,-1.01290129308659,0.311107310698997,0.720223992289589
"Potri.001G003500",23.7875130628058,-0.300978943280173,0.302057312692443,-0.996429917876652,0.319041302606888,0.726269515682983
"Potri.001G003600",0.726138250197686,-0.896441908804552,1.73721009931968,-0.516023887470843,0.605837725579372,NA
"Potri.001G003700",10.1752809175661,-0.285845212022175,0.485553341284805,-0.588699917635846,0.556062593167946,0.852125069581653
"Potri.001G003800",87.2583890735744,-0.119959908485243,0.18651895385125,-0.643151304509842,0.520125927011225,0.834108834461109
"Potri.001G003900",15.1890530550059,0.207292993096522,0.385579368511835,0.537614328008733,0.590843336374937,0.866340905140784
"Potri.001G004000",3.00252392795687,0.155883102116885,0.710498268884015,0.219399693065729,0.826338709102505,0.952157594196613
"Potri.001G004100",268.94546899214,-1.57275885318093,0.588099200619997,-2.67430877566721,0.00748834686567838,0.135706674287653
"Potri.001G004200",25.8414729512393,0.0767009548941188,0.303444392310358,0.252767745385357,0.800447693912311,0.945011030505245
"Potri.001G004300",19.8853414547059,0.210353683500487,0.378131754861599,0.556297324400801,0.578007615944675,0.86155306711651
"Potri.001G004400",0.0341976134868324,0.526204353690355,6.59283415848709,0.0798145897562069,0.936384720397289,NA
"Potri.001G004500",150.61486653882,-0.437097274173176,0.297987266351993,-1.46683205468539,0.142421747462798,0.54742592423367
"Potri.001G004600",175.070007984533,-0.904003594456584,0.445959725578812,-2.027096938593,0.0426524999073815,0.336871013299964
"Potri.001G004700",3.26278382694185,-5.77176933134646,1.72441388084815,-3.34709050735989,0.000816645426515287,0.0336842219454423
"Potri.001G004800",67.8798502213539,0.198223263656884,0.282325134057568,0.702109871721391,0.482610646467697,0.818303077311772
"Potri.001G004900",0.0921829240785064,1.60092524477595,6.6108980689668,0.242164563433688,0.808652652203289,NA
"Potri.001G005000",16.1481652912082,0.228924689510259,0.254129579261497,0.900818748354746,0.367684697514547,0.756688465260378
"Potri.001G005100",6.31983865960806,-0.385348488330607,0.59711634862592,-0.645349083503355,0.518700991331859,0.833603544579037
"Potri.001G005200",1.43754504055191,-0.756637138711194,1.1282552792655,-0.67062583496509,0.502458920155626,0.827107573845287
"Potri.001G005300",4.8146645478768,-0.92103595462082,0.731977759921421,-1.25828406961394,0.208289040311164,0.627517457775179
"Potri.001G005400",14.9841067691562,-0.307891688043887,0.383634792413281,-0.802564559139887,0.422226459745039,0.786184254501736
"Potri.001G005500",18.3208909709588,-0.676816235050738,0.427681179274554,-1.58252517961808,0.113529728806752,0.501303815108906
