"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Potri.001G044500",44.683170717037,4.3311185923225,0.600554684255505,7.2118638083586,5.51911612533313e-13,3.56447757757699e-10
"Potri.001G088800",165.664725325058,0.926121774910051,0.216668391856624,4.27437415755084,1.91674926122176e-05,0.0023638623300957
"Potri.001G092900",7.47337916836985,2.10126300800733,0.541223730285269,3.88242955810491,0.000103417980036881,0.00848688278575978
"Potri.001G102400",412.244817031026,3.26924366911308,0.336311575560117,9.72087762268739,2.45654958943904e-22,6.69873778044587e-19
"Potri.001G135100",25.4371768589024,3.71588605144023,0.694762892165679,5.34842331584127,8.87237532100203e-08,2.5028256911268e-05
"Potri.001G154100",30.6062645564116,4.20555173727174,0.622114214253591,6.76009588097506,1.37900450143228e-11,7.20075073918109e-09
"Potri.001G154200",404.833420831108,2.20443065716317,0.434537713510717,5.07304795101242,3.91493796980227e-07,8.81471629861353e-05
"Potri.001G171600",443.555090323596,2.22593434681135,0.478545750533922,4.65145567446338,3.29600125362627e-06,0.000532174097148
"Potri.001G216100",6.95987546298616,3.55535298024644,0.802357175037754,4.43113502422303,9.37383667017044e-06,0.0013145868546247
"Potri.001G218800",12.2640250366136,2.85522603870758,0.586642110505203,4.86706628722701,1.1326704654278e-06,0.000220619036210549
"Potri.001G224500",25.8259151282376,2.89577279511313,0.556692839633131,5.20174248517636,1.97428661130607e-07,4.65893673218016e-05
"Potri.001G225800",42.5819404502737,2.48098544005662,0.617612421699226,4.01705884287549,5.8929013461686e-05,0.00566734186746091
"Potri.001G226400",34.7697350124113,2.67458326848678,0.479774017679187,5.57467301256653,2.47995232219413e-08,7.90428440146601e-06
"Potri.001G263000",2.79213725322058,5.62343776320987,1.2911327920318,4.35542943213493,1.32806297634572e-05,0.00174295837248538
"Potri.001G269400",194.070432500987,1.01657207685536,0.223015573057852,4.55830085279134,5.15691308617669e-06,0.000776447613257352
"Potri.001G270500",29.6981471850825,2.72989194994069,0.514954890025684,5.30122541375331,1.15027956525496e-07,3.17192821241428e-05
"Potri.001G270600",11.7482017418144,3.72238777027894,0.927040244545925,4.01534646654117,5.93585304296672e-05,0.00566734186746091
"Potri.001G270900",8.01153686393389,4.7417416644706,1.2281918568877,3.86074996172538,0.00011303953401197,0.00912571132803213
"Potri.001G278500",34.3961235047009,2.71935004166323,0.461772946241432,5.88893321663209,3.88696468266529e-09,1.49052948815581e-06
"Potri.001G286700",399.757234628703,-1.8006077122544,0.452987638042877,-3.97495993496397,7.03911050325881e-05,0.00635823373457371
"Potri.001G294800",70.7218347696218,2.56648148829435,0.549658899818153,4.66922574917542,3.02337008230506e-06,0.000494663657066206
"Potri.001G295500",302.879182354048,1.82962990566607,0.445419374293805,4.10765676407068,3.99693487407194e-05,0.00424644050560491
"Potri.001G298300",351.244877835739,2.07274545722688,0.538475499359645,3.8492846186907,0.000118463295237752,0.00947011788835476
"Potri.001G352400",5.24362392619605,5.58083990885253,1.13389328131443,4.92183876632829,8.57348362374733e-07,0.000175342029245006
"Potri.001G369100",111.024787471241,0.998266862278549,0.238109402993944,4.19247140065248,2.75931877040589e-05,0.00314973029131634
"Potri.001G381000",11.4259307876373,4.83546785977818,0.948143926558974,5.09993021558148,3.39778730950376e-07,7.79331739718143e-05
"Potri.001G388900",64.89600031838,2.29849408696229,0.579906128801439,3.9635623298427,7.38395730417775e-05,0.00658971200578656
"Potri.001G389600",201.278213069717,6.03073579506841,0.570150412958904,10.5774470350214,3.79148420929212e-26,1.86101210928894e-22
"Potri.001G411800",105.814083032139,2.69387658933952,0.555363863383561,4.85065155829018,1.23056561781271e-06,0.000237799538522517
"Potri.001G415200",46.5379677203243,2.69553454326161,0.514698621861725,5.23711241641089,1.63108352494825e-07,4.04343958275554e-05
"Potri.001G420000",175.520774671927,10.9995462847213,0.780211548494428,14.0981587698197,3.89807874484261e-45,9.56666485559272e-41
"Potri.001G435900",7.24069672473369,2.96622364413118,0.696604808473573,4.25811537337918,2.06157550267243e-05,0.0025171734321685
"Potri.001G450000",125.150720037815,2.47402087464353,0.422868689647105,5.85056528235316,4.89905127272233e-09,1.76812524022282e-06
"Potri.001G459700",73.3539292869659,0.932059673375959,0.238301600186928,3.91126065727144,9.18156156497222e-05,0.00769057624326103
"Potri.001G462200",156.54736905915,2.43582133106803,0.498481119865221,4.88648663709997,1.02651291183987e-06,0.000204818535629058
"Potri.001G462700",19.4397826066208,3.74822148805311,0.544382657250644,6.88526983387599,5.76781006194753e-12,3.29194405907712e-09
"Potri.001G469600",60.6937477782908,-1.50508373242097,0.359921599332512,-4.18169883444672,2.89339062605108e-05,0.00325732076809842
"Potri.002G001400",28.5705975691366,4.16446014880316,0.75945408217297,5.48349169035698,4.1701187403022e-08,1.23304884487345e-05
"Potri.002G019300",2.20180100887431,5.33603335831335,1.37715596574489,3.874676137664,0.000106766595941996,0.00864774190629855
"Potri.002G020700",322.61394385772,2.29015717577953,0.572992070416155,3.99683921300381,6.41938706926629e-05,0.00594373716049501
"Potri.002G039100",13.3210423644699,3.61654773798882,0.526462983448857,6.86951951359777,6.44185057734221e-12,3.59308856520756e-09
"Potri.002G064400",175.621962031046,3.29944235976921,0.408007862305862,8.08671269500145,6.12966283889047e-16,6.28317233467142e-13
"Potri.002G064600",154.734457175219,10.9768069332948,0.824791972053732,13.3085763504252,2.06376724865389e-40,2.53244879082319e-36
"Potri.002G065400",49.1465005316789,1.35088910664208,0.343596163572788,3.93161871365278,8.43758130600778e-05,0.0072423500461922
"Potri.002G070500",38.0525361771681,2.58450036057392,0.547271169019867,4.72252241096973,2.32937411815771e-06,0.000399459498385969
"Potri.002G071500",4.4271808099301,6.25855198066173,1.55658912940881,4.02068334052849,5.80295658832738e-05,0.00565143494407661
"Potri.002G074200",11.137408247778,3.1457608505896,0.649203314715492,4.84557114741198,1.26247958325399e-06,0.000242060733845463
"Potri.002G107700",1024.61212047199,1.94792790584764,0.407331285627782,4.7821711088199,1.73411967424943e-06,0.000315250111447626
"Potri.002G108600",12.3179110227491,5.6685411237521,0.922120068334698,6.14729178813904,7.8817059145702e-10,3.39355836062073e-07
"Potri.002G113600",152.375612248591,2.61999989293725,0.554936019302341,4.72126479775288,2.34382559561485e-06,0.000399459498385969
"Potri.002G119300",118.817707907965,2.04425943638119,0.453379828454397,4.50893336686419,6.51543666188993e-06,0.000946164772521318
"Potri.002G121200",3.67104256456076,6.66029222380627,1.572864016548,4.2344997111853,2.29061079404966e-05,0.00272219673385127
"Potri.002G155300",118.400444042544,3.23364027296868,0.550050811615968,5.87880283908448,4.13244219463012e-09,1.53720466958058e-06
"Potri.002G161900",25.8265377164916,2.05480140143154,0.473375737203063,4.34074085328564,1.42003119917287e-05,0.00183394377579478
"Potri.002G166500",62.1614233915769,-1.49799418259655,0.353241929350203,-4.24070320687056,2.22820605659536e-05,0.00268061926671389
"Potri.002G184200",228.558575621915,0.750214720747539,0.180849635394646,4.14827886774799,3.34984199557072e-05,0.00370323523672507
"Potri.002G187400",28.8534174021017,3.59923882110189,0.636838237060537,5.65173165121954,1.58839434772834e-08,5.26788838945257e-06
"Potri.002G189900",647.428736999164,0.976999830509608,0.253159603008718,3.85922484827077,0.000113747246536741,0.00915273745739241
"Potri.002G213100",125.56209735968,1.14421119229968,0.289612383596678,3.95083655639926,7.7878497635891e-05,0.00685051644795712
"Potri.002G241700",185.58573337279,-1.43254972768319,0.326242143577193,-4.3910627608546,1.12797973548361e-05,0.00153793770379104
"Potri.003G001800",62.1968241911426,1.74269444116483,0.442685959908289,3.93663815659721,8.26310568945912e-05,0.00716583532970692
"Potri.003G002500",10.4356757993887,2.6903742829133,0.665477169917689,4.04277472545913,5.28223657323539e-05,0.00524844736762522
"Potri.003G066000",96.6139773950481,1.06684893815405,0.27146902436087,3.92991038541421,8.49775264555308e-05,0.00725228237501406
