"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Potri.001G085500",51.26222679523,1.06407390711593,0.259993360276736,4.09269646726105,4.26385707340523e-05,0.00409973880114586
"Potri.001G088800",165.664725325058,0.953213850264104,0.207705467742661,4.58925737788039,4.44825687374612e-06,0.000839567297355934
"Potri.001G135100",25.4371768589024,3.00230254491157,0.693434224482268,4.329614026699,1.49370912090671e-05,0.0020759840945838
"Potri.001G154200",404.833420831108,1.80840509367956,0.429631382513688,4.20920157903489,2.56274676236282e-05,0.00292382630619424
"Potri.001G157500",17.0715599004841,1.85464394896848,0.406107850187108,4.56687539557284,4.9504808117772e-06,0.000922962812810365
"Potri.001G163700",291.714652101364,-0.608805596070287,0.151166223857743,-4.02739170519474,5.6399030157737e-05,0.00501295565727606
"Potri.001G167100",217.469506569563,1.22096791097051,0.320441430835463,3.8102685654198,0.000138815909940807,0.00973291931445274
"Potri.001G176100",1325.87578213935,-1.93016295613636,0.506586311090589,-3.81013642469151,0.00013889012817676,0.00973291931445274
"Potri.001G218500",74.5119888227411,-5.96378088938633,1.56509869758567,-3.8104823028644,0.0001386959411245,0.00973291931445274
"Potri.001G225800",42.5819404502737,2.91595437550887,0.593153890045808,4.91601660959127,8.83229073150894e-07,0.000259669347506363
"Potri.001G236500",325.223586701951,-0.69952559952156,0.169601601481615,-4.12452237131376,3.71504883877428e-05,0.00368803030176502
"Potri.001G243300",31.7999743319069,1.51947462740673,0.383564866252391,3.96145414008513,7.44946913327232e-05,0.00625755407194875
"Potri.001G253800",190.282234510572,1.62682980196714,0.366185217065021,4.44264193679417,8.88609761123673e-06,0.00141511104458945
"Potri.001G269400",194.070432500987,0.915096743087376,0.207381877095635,4.41261674309842,1.02128692444791e-05,0.00154588460405542
"Potri.001G294800",70.7218347696218,2.78450662279995,0.562412105435224,4.9510076257074,7.38302102656823e-07,0.00022574325090835
"Potri.001G295500",302.879182354048,2.16509295047746,0.439821831882869,4.92265911678085,8.53760958140331e-07,0.000255927402510772
"Potri.001G298300",351.244877835739,2.50887589925928,0.52684149447927,4.76210762734066,1.91581452098566e-06,0.000485238974615276
"Potri.001G369100",111.024787471241,0.841907714056003,0.217415971121576,3.87233610168049,0.000107797162388054,0.00824001509294287
